,maker,car_name,prices,base_price,trim,color,year,milage,permit_validity,repair_history,guarantee,engine_size,city,prefecture
0,ダイハツ,ミライース 660 B 4WD WEB商談可 届出済未使用車 4WD,94.9,89.3,ハッチバック,白,2023,25km,2026(R08)年08月,なし,保証付,660CC,青森市,青森県
1,三菱,eKワゴン 660 M 衝突軽減B シートヒーター 届出済未使用車,98.9,89.9,ハッチバック,桃,2023,10km,2026(R08)年03月,なし,保証付,660CC,豊田市,愛知県
2,スズキ,アルト 660 A 4WD 届出済未使用車横滑防止機能シートヒーター,99.2,90.2,ハッチバック,銀,2023,15km,2026(R08)年04月,なし,保証付,660CC,北見市,北海道
3,ダイハツ,タント 660 L 4WD 届出済未使用車横滑防止機能シートヒーター,157.7,150.2,ハッチバック,薄茶,2023,15km,2026(R08)年03月,なし,保証付,660CC,北見市,北海道
4,ホンダ,N-ONE 660 RS 6MT・2トーン・シートヒーター・15AW,189.9,181.0,ハッチバック,白黒,2023,2km,新車未登録,なし,保証付,660CC,舞鶴市,京都府
5,スズキ,ワゴンR 660 ハイブリッド FX ,94.9,86.7,ハッチバック,茶,2022,0.5万km,2025(R07)年08月,なし,保証付,660CC,丸亀市,香川県
6,ダイハツ,ミライース 660 G SAIII 社外SDナビ バックカメラ 衝突軽減,97.6,84.8,ハッチバック,白真珠,2022,0.6万km,2024(R06)年07月,なし,保証付,660CC,名古屋市緑区,愛知県
7,スズキ,アルトラパン 660 G 届出済未使用車,109.9,101.8,ハッチバック,白,2022,3km,2025(R07)年06月,なし,保証付,660CC,岡山市南区,岡山県
8,スズキ,アルトラパン LC 660 L 届出済未使用車,129.9,121.7,ハッチバック,桃,2022,6km,2025(R07)年11月,なし,保証付,660CC,高松市,香川県
9,スズキ,ワゴンR 660 FA 5速MT CDオーディオ 電格ミラー キーレス,68.5,59.8,ハッチバック,赤,2021,2.6万km,2024(R06)年03月,なし,保証付,660CC,野洲市,滋賀県
10,三菱,eKワゴン 660 M 衝突軽減B キーレス アイドリングストップ,89.9,83.4,ハッチバック,茶Ｍ,2021,0.6万km,2024(R06)年05月,なし,保証付,660CC,相楽郡,京都府
11,ダイハツ,ムーヴ 660 L SAIII 衝突軽減B アームレストBOX アイドリングS,92.7,86.7,ハッチバック,茶,2021,0.5万km,2024(R06)年06月,なし,保証付,660CC,高知市,高知県
12,ホンダ,N-WGN 660 L ホンダ センシング 衝突軽減B スマートキー LEDヘッドライト,99.7,93.0,ハッチバック,青真珠,2021,1万km,2024(R06)年09月,なし,保証付,660CC,京都市南区,京都府
13,日産,ルークス 660 S 衝突軽減B 両側スライドドア アイドリングS,99.8,92.2,ハッチバック,黒,2021,0.4万km,車検整備付,なし,保証付,660CC,神戸市灘区,兵庫県
14,スズキ,アルトラパン 660 G ディスプレイオーディオ付,99.9,91.8,ハッチバック,薄茶,2021,1.1万km,2024(R06)年08月,なし,保証付,660CC,岡山市南区,岡山県
15,ホンダ,N-WGN 660 G ホンダ センシング ナビ バックカメラ ETC,100.8,88.8,ハッチバック,黒,2021,2万km,車検整備付,なし,保証付,660CC,名古屋市緑区,愛知県
16,日産,デイズ 660 ハイウェイスターX 当社社用車・ハイビームアシスト・Mナビ,104,95.0,ハッチバック,赤,2021,2万km,車検整備付,なし,保証付,660CC,彦根市,滋賀県
17,ホンダ,N-BOX 660 L 衝突軽減 片側電動スライド 電動パーキング,104.1,94.8,ハッチバック,緑,2021,1.7万km,2024(R06)年12月,なし,保証付,660CC,野洲市,滋賀県
18,日産,デイズ 660 ハイウェイスターX 全周囲カメラ 衝突被害軽減 踏み間違い防止,108.9,99.9,ハッチバック,真珠白,2021,1.9万km,車検整備付,なし,保証付,660CC,彦根市,滋賀県
